matrix,prop,size,time
IGA,0.5,16,0.00034545284974097544
IGA,0.5,25,0.0007145781707753494
IGA,0.5,36,0.0014247294871777292
IGA,0.5,49,0.002362650413224272
IGA,0.5,64,0.003936715913555694
IGA,0.5,81,0.006355886349205869
IGA,0.5,100,0.009585245454557667
IGA,0.5,121,0.014223706382994132
IGA,0.5,144,0.020165139999967323
IGA,0.5,169,0.027743702739701816
IGA,0.5,196,0.03765285555555743
IGA,0.5,225,0.050314514999968196
IGA,0.5,256,0.07132465862062826
IGA,0.5,289,0.08560362916667448
IGA,0.5,324,0.10834317894741137
IGA,0.5,361,0.13685173333348455
IGA,0.5,400,0.17439810833339683
IGA,0.5,441,0.2132979699999396
IGA,0.5,484,0.25824923750013795
IGA,0.5,529,0.31359982857137375
IGA,0.5,576,0.4128015600000253
IGA,0.25,16,0.00035835923668872633
IGA,0.25,25,0.0008124179528777001
IGA,0.25,36,0.0016100038616178
IGA,0.25,49,0.002925650584794253
IGA,0.25,64,0.005109002551031543
IGA,0.25,81,0.009003743946208887
IGA,0.25,100,0.017157524786340125
IGA,0.25,121,0.022562598876381314
IGA,0.25,144,0.026498471052623006
IGA,0.25,169,0.03500662586209508
IGA,0.25,196,0.048565123809512875
IGA,0.25,225,0.06328514062504098
IGA,0.25,256,0.08917774782608119
IGA,0.25,289,0.10595838421053677
IGA,0.25,324,0.13482207999995807
IGA,0.25,361,0.17035169166672404
IGA,0.25,400,0.21304684999995516
IGA,0.25,441,0.2615142374999664
IGA,0.25,484,0.3147601571429602
IGA,0.25,529,0.3833996500000012
IGA,0.25,576,0.5102329500001588
IGA,0.125,16,0.0003776377194627592
IGA,0.125,25,0.00085276560101515
IGA,0.125,36,0.0016997545454501147
IGA,0.125,49,0.0030701352760657765
IGA,0.125,64,0.005231307310710054
IGA,0.125,81,0.008393230962336696
IGA,0.125,100,0.012719292405082815
IGA,0.125,121,0.018555841666659068
IGA,0.125,144,0.026191080519470528
IGA,0.125,169,0.03622662857143918
IGA,0.125,196,0.05839408285714204
IGA,0.125,225,0.0744294592592875
IGA,0.125,256,0.09269267272727368
IGA,0.125,289,0.11803475294121146
IGA,0.125,324,0.14340137857146015
IGA,0.125,361,0.17851760833324684
IGA,0.125,400,0.22300083333336967
IGA,0.125,441,0.2729813999999351
IGA,0.125,484,0.3306789571428713
IGA,0.125,529,0.3999783833334429
IGA,0.125,576,0.5239685499999496
IGA,0.0625,16,0.00038913482490483825
IGA,0.0625,25,0.000917064419994056
IGA,0.0625,36,0.0017451455100322953
IGA,0.0625,49,0.0031261087500020325
IGA,0.0625,64,0.0053637319034770484
IGA,0.0625,81,0.008422292436985843
IGA,0.0625,100,0.01275839808916137
IGA,0.0625,121,0.018784070093422606
IGA,0.0625,144,0.026753757333341732
IGA,0.0625,169,0.036736105454499256
IGA,0.0625,196,0.0498087414634827
IGA,0.0625,225,0.066369390322536
IGA,0.0625,256,0.09246068636360344
IGA,0.0625,289,0.1126937111111551
IGA,0.0625,324,0.14372264285712585
IGA,0.0625,361,0.18030143333332185
IGA,0.0625,400,0.23096617777774656
IGA,0.0625,441,0.2969120142857459
IGA,0.0625,484,0.33285094285721634
IGA,0.0625,529,0.416336820000015
IGA,0.0625,576,0.5249329000000671
IGA,0.03125,16,0.00039324618560548447
IGA,0.03125,25,0.0008848889871745057
IGA,0.03125,36,0.001732944069256428
IGA,0.03125,49,0.0031595823064650337
IGA,0.03125,64,0.005337721333319981
IGA,0.03125,81,0.0084864122881284
IGA,0.03125,100,0.015164421969698747
IGA,0.03125,121,0.02164253225806357
IGA,0.03125,144,0.028299688732370758
IGA,0.03125,169,0.04024286199998642
IGA,0.03125,196,0.050000382499990795
IGA,0.03125,225,0.06687155666668332
IGA,0.03125,256,0.09439224545460755
IGA,0.03125,289,0.1131671000000804
IGA,0.03125,324,0.15432874285709527
IGA,0.03125,361,0.19440283636359626
IGA,0.03125,400,0.2347869222223077
IGA,0.03125,441,0.3037377142857492
IGA,0.03125,484,0.3618050500000815
IGA,0.03125,529,0.4345021799999813
IGA,0.03125,576,0.5624731499999598
IGA,0.0,16,0.00041098787754113505
IGA,0.0,25,0.0009146377686344238
IGA,0.0,36,0.0018269462100528738
IGA,0.0,49,0.0033035270627090425
IGA,0.0,64,0.005674950708227811
IGA,0.0,81,0.008478213559320944
IGA,0.0,100,0.01290615548386115
IGA,0.0,121,0.018995163207544567
IGA,0.0,144,0.02682394533333839
IGA,0.0,169,0.037968694339595904
IGA,0.0,196,0.05055071250000083
IGA,0.0,225,0.06746500333329095
IGA,0.0,256,0.09335313636364101
IGA,0.0,289,0.11361312222223002
IGA,0.0,324,0.1553208714285899
IGA,0.0,361,0.20086206000000856
IGA,0.0,400,0.2404373777778043
IGA,0.0,441,0.2756188124999994
IGA,0.0,484,0.33405823333320467
IGA,0.0,529,0.4171851400000378
IGA,0.0,576,0.5335372749998442
FEM,0.5,25,0.0006587651515145807
FEM,0.5,49,0.0026013010402991736
FEM,0.5,81,0.006436051768483957
FEM,0.5,121,0.014254270921965339
FEM,0.5,169,0.028287160563387505
FEM,0.5,225,0.05863835142859638
FEM,0.5,289,0.09922857142856585
FEM,0.5,361,0.13792982666661072
FEM,0.5,441,0.21145829000001867
FEM,0.5,529,0.31929698571424786
FEM,0.25,25,0.0008131595121972723
FEM,0.25,49,0.0029434855882414014
FEM,0.25,81,0.008735996506537478
FEM,0.25,121,0.01955744271844664
FEM,0.25,169,0.037939832075496595
FEM,0.25,225,0.06907684827586402
FEM,0.25,289,0.12492900588238305
FEM,0.25,361,0.18624534545460847
FEM,0.25,441,0.2712967375000517
FEM,0.25,529,0.3923759000000852
FEM,0.125,25,0.000886268232159187
FEM,0.125,49,0.0032409092232927477
FEM,0.125,81,0.008661944588768315
FEM,0.125,121,0.018778099065406353
FEM,0.125,169,0.042921748936196116
FEM,0.125,225,0.0838575999999921
FEM,0.125,289,0.12805308749994992
FEM,0.125,361,0.21120059000004404
FEM,0.125,441,0.28688964285713936
FEM,0.125,529,0.4613248600001498
FEM,0.0625,25,0.0010887676102243754
FEM,0.0625,49,0.0034707298093669707
FEM,0.0625,81,0.009112279545446323
FEM,0.0625,121,0.01897578207545282
FEM,0.0625,169,0.04475288888890848
FEM,0.0625,225,0.07207500357139907
FEM,0.0625,289,0.11302957222222984
FEM,0.0625,361,0.18914859166674583
FEM,0.0625,441,0.2861384285713809
FEM,0.0625,529,0.4094828199998119
FEM,0.03125,25,0.0008905229741756886
FEM,0.03125,49,0.0033762629005024765
FEM,0.03125,81,0.009382504205623858
FEM,0.03125,121,0.01988449207919084
FEM,0.03125,169,0.03792474716983462
FEM,0.03125,225,0.08058478799992372
FEM,0.03125,289,0.1205718470587539
FEM,0.03125,361,0.18849351818190288
FEM,0.03125,441,0.3011093285713936
FEM,0.03125,529,0.5116091500000266
FEM,0.0,25,0.0010834953412742433
FEM,0.0,49,0.0034948500872673937
FEM,0.0,81,0.009181823394485053
FEM,0.0,121,0.019230949038444578
FEM,0.0,169,0.03845981698105908
FEM,0.0,225,0.07775874230772108
FEM,0.0,289,0.1275235352940506
FEM,0.0,361,0.1953221818181522
FEM,0.0,441,0.28434948750009426
FEM,0.0,529,0.4193884999999682
